"No.","Description","Part Number","Alternate P/N","Category","Group","Minimum Qty","Unit","Last Update"
"248","CABLE","11-07773 FT","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"249","CABLE","9864054-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"250","CABLE","MC0510105-220","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"251","CABLE","MC0510105-242","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"252","CABLE","MC0510105-243","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"253","CABLE","MC0510105-264","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"254","CABLE","MC0510105-44","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"255","CABLE","MC0510105-45","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"256","CABLE (AILERON)","MC0510105-241","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"257","CABLE (AILERON)","MC0510105-244","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"258","CABLE (AILERON)","MC0510105-265","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"259","CABLE (CABIN)","MC0510105-260","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"260","CABLE (ELEVATOR)","MC0510105-208","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"261","CABLE (FLAP)","MC0510105-93","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"262","CABLE (FLAP)","MC0510105-94","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"263","CABLE (RTRIM WHEEL)","MC0510105-221","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"264","CABLE (RUDDER)","MC0510105-238","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"265","CABLE (RUDDER)","MC0510105-239","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"266","CABLE ASSEMBLY","556-201","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"267","CABLE ASSY","MC0510105-28","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"268","CABLE ASSY","MC0510105-291","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"269","CABLE AY","0510105-224","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"270","CABLE AY","0510105-232","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"271","CABLE AY","0510105-290","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"272","CABLE AY","0510105-93","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"273","CABLE AY ELEVATOR","0560051-103","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"274","CABLE B NUT MIX222-4","05-16245","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"275","CABLE BRAKE","0713070-28","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"276","CABLE BRAKE","MC0713070-28","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"277","CABLE CONTROL","554-471","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"278","CABLE CONTROL","S1230-17","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"279","CABLE END B NUT","05-16230","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"280","CABLE PARKING BRAKE","0510105-278","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"281","CABLE TENSION METER","ACM.200","N/A","TOOLS","TOOLS","0.00","EA","December 20, 2016"
"282","CABLE TESTER","MODEL E5","N/A","TOOLS","TOOLS","0.00","EA","December 20, 2016"
"283","CAM","071704-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"284","CAM ASSY","0717024-16","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"285","CAP","MS20813-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"286","CAP AY","0543018-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"287","CAP FUEL","66817-002","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"288","CAPACITOR","S1915-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"289","CARBON MONOYIDE DETECTOR","ASACOD","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"290","CARBURATOR","10-5217","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","UNKNOWN"
"291","CARBURATOR","10-5217-H","N/A","SPARE PART","ROTABLE PART","0.00","EA","December 20, 2016"
"292","CARBURATOR","10-5256-1","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"293","CARBURATOR","AV105256-1","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"294","CARBURATOR","OCT-17","MA-4SPA","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"295","CARBURETOR","10-5217R","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"296","CARBURETOR","10-5217RPD","N/A","SPARE PART","ROTABLE PART","0.00","EA","December 20, 2016"
"297","CARBURETOR HEAT CONTROL","MCS1230-17","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"298","CARBURETOR HEAT REPAIR KIT","CCH-KT-2","N/A","SPARE PART","CONSUMABLE PART","0.00","KIT","December 20, 2016"
"299","CATCH","071704-7","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"300","CATRIDGE","753-913","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"301","CESSNA 172 CENTER CONSOLE","28-0500233-80A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"302","CESSNA 172 CENTER CONSOLE","28-05002333-80A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"303","CESSNA 172 LEFT AND RIGHT AERM REST","28-01-804","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"304","CESSNA 172 LEFT AND RIGHT AERM REST","28-01-80A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"305","CESSNA 172 WINDSHIELD","LP-389-GT","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"306","CESSNA BAFFLE SET","C172P-BRK 343150","N/A","SPARE PART","REPAIRABLE PART","0.00","KIT","December 20, 2016"
"307","CESSNA BAFFLE SET","C172P-BRK343150","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"308","CESSNA CONVERTION KIT","MSC172-40PFW","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"309","CESSNA KIT TSO-C-148A","MC172-14","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"310","CHAIN (TRIM ACTUATOR)","MC2295-25-67","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"311","CHAIN (TRIM ELEVATOR)","MC2295P25-55","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"312","CHAIN ASSY","69202-003","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"313","CHANNEL","2432003-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"314","CHERRY RIVET","CR3213-4-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"315","CHERRY RIVET","CR3213-5-04","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"316","CHERRY RIVET","S2906-4-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"317","CHT INDICATOR","46127","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"318","CHT PROBE","2852","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"319","CHT PROBE","66252","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"320","CHT PROBE","763-503","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"321","CHT PROBE","86251","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"322","CIMPASS FLUID","AP1000","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"323","CIRCLIP / RING","MS16624-1262","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"324","CIRCUIT BREAKER","11-02191","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"325","CIRCUIT BREAKER","11-03930","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"326","CIRCUIT BREAKER","11-03938","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"327","CIRCUIT BREAKER","11-04128","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"328","CIRCUIT BREAKER","11-08398","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"329","CIRCUIT BREAKER","11-63941","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"330","CIRCUIT BREAKER","S1232-55","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"331","CIRCUIT BREAKER","S1232-60","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"332","CIRCUIT BREAKER","W584-1008-10-1A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"333","CIRCUIT BREAKER","W584-1008-5-5A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"334","CLAMP","A0750161-25","N/A","SPARE PART","CONSUMABLE PART","0.00","KITS","December 20, 2016"
"335","CLAMP","AN73TW66","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"336","CLAMP","CK100","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"337","CLAMP","LW15592-8-28","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"338","CLAMP","LW15592-8-32","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"339","CLAMP","LW18959-175-25","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"340","CLAMP","MS21919WDG6","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"341","CLAMP","MS21919WDG9","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"342","CLAMP","S1485D26","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"343","CLAMP","S18991-65","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"344","CLEVIS","543032","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"345","CLIP","1726049-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"346","CLOCK","800-28V","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"347","CLUSTER","C668509-0101","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"348","CLUSTER FUEL","C669537-0101","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"349","CLUSTER FUEL","C669562-0109","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"350","COAXIAL CABLE","C732913","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"351","COIL HEAD JET","22607G-01","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"352","COLLING MONT","J-7444-14","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"353","COLOR KUT FUEL","KOLOR KUT","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"354","COMPASS","2300","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"355","COMPASS","C660501-0102","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"356","COMPENSATOR","C21-400","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"357","COMPUTER STUDENT FLT","10001316","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"358","CONNECTOR","MS3106A10SL39","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"359","CONNECTOR","S2800-277","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"360","CONSOLE CENTER","28-0500233RT-80A","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"361","CONTACK CLEANER","2016","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"362","CONTACT CLEANER","2016M","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"363","CONTACT PIN","204370-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"364","CONTACTOR","S2099-6","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"365","CONTACTOR","S2099-8LP","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"366","CONTACTOR","S2443-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"367","CONTACTOR STATER","584-460","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"368","CONTORL","S1239-48","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"369","CONTROL","S1241-36","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"370","CONTROL","S1517-7","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"371","CONTROL ASSY SEAT","AC5794-24","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"372","CONTROL ASSY SEAT","MC5794-24","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"373","CONTROL HF","2102","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"374","CONTROL MX","345-024-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"375","CONTROL MX","565-548-071","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"376","CONTROL TH","252-085-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"377","CONVERSION KIT","MSC172-40PSD","N/A","SPARE PART","CONSUMABLE PART","0.00","KIT","December 20, 2016"
"378","CONVERTER","622-2093-001","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"379","CONVERTER","AK-550-12","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"380","CONVERTER","VR1-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"381","CONVERTER IND 385A","46860-100","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"382","CONVERTER KN-72","066-4009-00","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"383","COOLING FAN","ACF528","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"384","COOLING KIT","SK402-20B","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"385","CORD HEADSET KIT","18028G01","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"386","CORE-HIGH-PREASURE","AN809-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"387","CORROSION SPRAY","COR-BAN 23","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"388","COTTER PIN","MS-24665-134","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"389","COTTER PIN","MS-24665-360","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"390","COTTER PIN","MS24665-132","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"391","COTTER PIN","MS24665-134","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"392","COTTER PIN","MS24665-136","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"393","COTTER PIN","MS24665-151","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"394","COTTER PIN","MS24665-153","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"395","COTTER PIN","MS24665-285","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"396","COTTER PIN","MS24665-351","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"397","COTTER PIN","MS24665-360","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"398","COUPLER","DMH69-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"399","COUPLING","C301001-0211","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"400","COVER","0513298-11-532","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"401","COVER","0541191-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"402","COVER","0541191-2/-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"403","COVER","0560027-5","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"404","COVER","0570316-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"405","COVER","0712765-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"406","COVER","533-182","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"407","COVER","712765","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"408","COVER AY","0552233-3","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"409","COVER COMFORT EAR SEALS","22658G01","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"410","COWLING MOUNT","J7444-14","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"411","CRIMP PIN / 18-16 AWG","66099-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"412","CRIMP PIN / 24-20 AWG","66103-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"413","CRIMP SOCKET / 18-16 AWG","66101-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"414","CRIMP SOCKET / 24-20 AWG","66105-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"415","CUSTTLE NUT","AN310-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"416","CUSTTLE NUT","AN310-5","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"417","CYLINDER","05K21122","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"418","CYLINDER ASSY","05K21100","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"419","CYLINDER HYDRAULIC NOSE","455-987","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"420","CYLINDER KIT","05K21104","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"421","CYLINDER PREASSURE TESTER","E2M","N/A","TOOLS","TOOLS","0.00","EA","December 20, 2016"
"422","DAMPENER","SE1051-2","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"423","DC CONVERTER","SDC225","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"424","DEAL GREASE","154-12000","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"425","DETECTOR","1221201-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"426","DETECTOR LIFT","148-7","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"427","DETECTOR NAV LIGHT","1221201-3","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"428","DGI","066-1075-0106","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"429","DGI","1U262-003-14","4000C","SPARE PART","ROTABLE PART","0.00","EA","December 20, 2016"
"430","DGI","31100C","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"431","DGI","C661075-0101","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"432","DGI","C661075-0106","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"433","DGI","IU262-005-20","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"434","DGI","RCA11A-15","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"435","DGI","RCA11D-7","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"436","DIRECTIONAL GYRO INDICATOR","1U262-001-13","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"437","DISC BRAKE","164-04000","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"438","DISC BRAKE","164-30615-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"439","DME","066-068-04","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"440","DME","066-1064-00","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"441","DME KN-62A","006-1068-01","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"442","DME KN 62 A","066-1068--01","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"443","DME KN62A","066-1068-00","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"444","DME KN62A","066-1088-00","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"445","DME KN62A","066-10888-00","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"446","DOME SHALLOW","11696P-28","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"447","DOOR AY","0552173-27","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"448","DOOR POST KIT","SK172-149-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"449","DOW CORNING RTV","RTV737-30ZCLR","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"450","DOWEL","A-2973-6","N/A","SPARE PART","ROTABLE PART","0.00","EA","December 20, 2016"
"451","DRAIN VALVE","492-308","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"452","DRAIN VALVE","S2485-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"453","DRAIN VALVE SAF-AIR F50,OIL","05-00983","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"454","DUAL HARNESS","10-821414-14R","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"455","DUAL HARNESS","10-821414-4R","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"456","DUCT","52282-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"457","EARPHONE","10376G-20","10376G20","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"458","EGT IND","46150","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"459","EGT IND","46188-3","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"460","EGT IND","C668501-0211","45812","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"461","EGT PROBE","2870","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"462","EGT PROBE","86143","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"463","EGT PROBE,SCREW-IN","86245","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"464","ELBOW","0556032-1","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"465","ELBOW","AN823-4D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"466","ELBOW","AN916-1D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"467","ELBOW","MS20823-4D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"468","ELBOW","S2421-10P","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"469","ELBOW 90 DEGREE","MS20822-4D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"470","ELBOW PIPE 900","AN914-1D","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"471","ELEC BUSHING KIT","EBCKT-4","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"472","ELEVATOR KIT","EBCKT5","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"473","ELT ME 406","453-06669","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"474","ELT ME406","453-6603","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"475","ELT REMOTE","345-6196-04","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"476","ELT REMOTE","455-0023","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"477","ENGINE BAFFLE","27675","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"478","ENGINE BAFFLE","27875","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"479","ENGINE BAFFLE","34477","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"480","ENGINE BAFFLE","34478","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"481","ENGINE BAFFLE","34479","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"482","ENGINE BAFFLE","34480","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"483","ENGINE BAFFLE","34481","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"484","ENGINE BAFFLE","34482","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"485","ENGINE BAFFLE","34484","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"486","ENGINE BAFFLE","34485","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"487","ENGINE MOUNTING","0551023-25","N/A","SPARE PART","REPAIRABLE PART","0.00","EA","December 20, 2016"
"488","EYE BOLT","422344","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"489","EYE WASH PORTABLE","7501","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"490","F8C LARGE FUEL/WATER FUNNEL","05-01055","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"491","FAIRING DORSAL FIN","K0531012-2","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
"492","FAIRING LANDING GEAR,LH","SA-1741005-239","N/A","SPARE PART","CONSUMABLE PART","0.00","EA","December 20, 2016"
